month,source,group,index_new,index_empl
2019-01-31,zus,ukrainian,100,NA
2019-02-28,zus,ukrainian,105.53905546639528,NA
2019-03-31,zus,ukrainian,111.20777390691667,NA
2019-04-30,zus,ukrainian,110.92471718792814,NA
2019-05-31,zus,ukrainian,114.64751242807374,NA
2019-06-30,zus,ukrainian,118.22963557364857,NA
2019-07-31,zus,ukrainian,122.40796375308256,NA
2019-08-31,zus,ukrainian,121.90790503777352,NA
2019-09-30,zus,ukrainian,122.225946295064,NA
2019-10-31,zus,ukrainian,125.66397228637413,NA
2019-11-30,zus,ukrainian,126.78543468900459,NA
2019-12-31,zus,ukrainian,117.21361608016596,NA
2020-01-31,zus,ukrainian,115.2640231729753,NA
2020-02-29,zus,ukrainian,120.6447919520883,NA
2020-03-31,zus,ukrainian,118.5934258425647,NA
2020-04-30,zus,ukrainian,109.9194621677692,NA
2020-05-31,zus,ukrainian,106.0890221943868,NA
2020-06-30,zus,ukrainian,106.05379300896386,NA
2020-07-31,zus,ukrainian,111.02306533056718,NA
2020-08-31,zus,ukrainian,117.67086154930129,NA
2020-09-30,zus,ukrainian,124.04318510979763,NA
2020-10-31,zus,ukrainian,130.55300035229186,NA
2020-11-30,zus,ukrainian,133.93598074137864,NA
2020-12-31,zus,ukrainian,130.27532586996514,NA
2019-01-31,zus,other,100,NA
2019-02-28,zus,other,101.5445816369367,NA
2019-03-31,zus,other,103.38635197537198,NA
2019-04-30,zus,other,104.43717390869777,NA
2019-05-31,zus,other,106.20964463960871,NA
2019-06-30,zus,other,107.33176520759898,NA
2019-07-31,zus,other,108.2413225563559,NA
2019-08-31,zus,other,109.34878359198524,NA
2019-09-30,zus,other,110.61350142930439,NA
2019-10-31,zus,other,112.99900714985374,NA
2019-11-30,zus,other,114.61622010621497,NA
2019-12-31,zus,other,114.87276192253104,NA
2020-01-31,zus,other,115.52444477021182,NA
2020-02-29,zus,other,117.96525690830461,NA
2020-03-31,zus,other,118.27577245740406,NA
2020-04-30,zus,other,115.28789322529703,NA
2020-05-31,zus,other,114.23507226483112,NA
2020-06-30,zus,other,114.56824345485197,NA
2020-07-31,zus,other,115.96889513769966,NA
2020-08-31,zus,other,118.09052927575247,NA
2020-09-30,zus,other,121.40558261646,NA
2020-10-31,zus,other,124.66532953962405,NA
2020-11-30,zus,other,127.06749381967441,NA
2020-12-31,zus,other,128.38418636263685,NA
2018-01-31,selectivv,ukrainian,59.254781045390956,NA
2018-02-28,selectivv,ukrainian,64.06414216241362,NA
2018-03-31,selectivv,ukrainian,67.86240887899176,NA
2018-04-30,selectivv,ukrainian,72.52313400955687,NA
2018-05-31,selectivv,ukrainian,76.2557038264465,NA
2018-06-30,selectivv,ukrainian,77.39140310801194,NA
2018-07-31,selectivv,ukrainian,79.12104157428139,NA
2018-08-31,selectivv,ukrainian,81.66288120026863,NA
2018-09-30,selectivv,ukrainian,84.84917657263738,NA
2018-10-31,selectivv,ukrainian,87.71369461199808,NA
2018-11-30,selectivv,ukrainian,90.96697659860004,NA
2018-12-31,selectivv,ukrainian,95.73549781831026,NA
2019-01-31,selectivv,ukrainian,100,NA
2019-02-28,selectivv,ukrainian,100.55771503027833,NA
2019-03-31,selectivv,ukrainian,100.69043677662862,NA
2019-04-30,selectivv,ukrainian,108.4140066873944,NA
2019-05-31,selectivv,ukrainian,114.37124897011579,NA
2019-06-30,selectivv,ukrainian,124.74531570640785,NA
2019-07-31,selectivv,ukrainian,122.20897507571571,NA
2019-08-31,selectivv,ukrainian,117.76193255067314,NA
2019-09-30,selectivv,ukrainian,117.02286151338626,NA
2019-10-31,selectivv,ukrainian,122.451603681518,NA
2019-11-30,selectivv,ukrainian,129.6179447440052,NA
2019-12-31,selectivv,ukrainian,131.85726766547918,NA
2020-01-31,selectivv,ukrainian,132.4943330991255,NA
2020-02-29,selectivv,ukrainian,130.60943003712825,NA
2020-03-31,selectivv,ukrainian,121.72834297388542,NA
2020-04-30,selectivv,ukrainian,114.18145591670313,NA
2020-05-31,selectivv,ukrainian,116.73044513220769,NA
2020-06-30,selectivv,ukrainian,117.97599639195498,NA
2020-07-31,selectivv,ukrainian,124.5785092899947,NA
2020-08-31,selectivv,ukrainian,134.51475546381027,NA
2020-09-30,selectivv,ukrainian,144.68348375427627,NA
2020-10-31,selectivv,ukrainian,146.09833021653742,NA
2020-11-30,selectivv,ukrainian,142.29474819271667,NA
2020-12-31,selectivv,ukrainian,136.70987717498113,NA
2018-01-31,selectivv,other,95.21350489141518,NA
2018-02-28,selectivv,other,95.22161221663914,NA
2018-03-31,selectivv,other,96.13423877424756,NA
2018-04-30,selectivv,other,96.68343947628979,NA
2018-05-31,selectivv,other,97.01758275896947,NA
2018-06-30,selectivv,other,97.06986280805798,NA
2018-07-31,selectivv,other,97.86351102582174,NA
2018-08-31,selectivv,other,98.09528659099543,NA
2018-09-30,selectivv,other,98.12122761527952,NA
2018-10-31,selectivv,other,98.73190760799474,NA
2018-11-30,selectivv,other,98.89087406470894,NA
2018-12-31,selectivv,other,99.71796804521071,NA
2019-01-31,selectivv,other,100,NA
2019-02-28,selectivv,other,100.54728992098003,NA
2019-03-31,selectivv,other,100.85986456968182,NA
2019-04-30,selectivv,other,101.03327323650164,NA
2019-05-31,selectivv,other,101.56391685071596,NA
2019-06-30,selectivv,other,101.83985642803368,NA
2019-07-31,selectivv,other,102.41798772762614,NA
2019-08-31,selectivv,other,103.0401605595896,NA
2019-09-30,selectivv,other,103.36754015111957,NA
2019-10-31,selectivv,other,104.22068767390529,NA
2019-11-30,selectivv,other,104.38291722371702,NA
2019-12-31,selectivv,other,104.53930360225188,NA
2020-01-31,selectivv,other,104.65141739804595,NA
2020-02-29,selectivv,other,104.86053374931062,NA
2020-03-31,selectivv,other,88.08225934457313,NA
2020-04-30,selectivv,other,70.57523238357443,NA
2020-05-31,selectivv,other,61.52028875757741,NA
2020-06-30,selectivv,other,60.66416478008762,NA
2020-07-31,selectivv,other,61.448061158164535,NA
2020-08-31,selectivv,other,63.16330225281611,NA
2020-09-30,selectivv,other,63.90460728685561,NA
2020-10-31,selectivv,other,64.58816502964176,NA
2020-11-30,selectivv,other,66.06001795991871,NA
2020-12-31,selectivv,other,66.09826620410189,NA
2018-03-31,zus (kw),other,87.8917417155435,89.26051712225456
2018-06-30,zus (kw),other,92.5671413424242,93.49364058348985
2018-09-30,zus (kw),other,96.27216234716201,97.05335681824818
2018-12-31,zus (kw),other,100,100
2019-03-31,zus (kw),other,104.12108929362343,103.38844503264856
2019-06-30,zus (kw),other,108.09521253036627,107.11748620585631
2019-09-30,zus (kw),other,111.40362650489215,110.70250386819902
2019-12-31,zus (kw),other,111.64387238782933,109.56393962690126
2020-03-31,zus (kw),other,115.081804394218,112.24199842352644
2020-06-30,zus (kw),other,115.37305219643792,113.82139138389078
2020-09-30,zus (kw),other,122.25629806595353,118.12944599604909
2020-12-31,zus (kw),other,129.27778597984084,123.36878776967917
2018-03-31,zus (kw),ukrainian,82.05279958547548,80.95250786205426
2018-06-30,zus (kw),ukrainian,95.84429660370363,92.87840022742213
2018-09-30,zus (kw),ukrainian,101.17583303028358,98.639020663433
2018-12-31,zus (kw),ukrainian,100,100
2019-03-31,zus (kw),ukrainian,108.04353458213598,108.38885631540607
2019-06-30,zus (kw),ukrainian,114.86560040691856,117.20546168470054
2019-09-30,zus (kw),ukrainian,118.74820249903142,122.93943108931649
2019-12-31,zus (kw),ukrainian,113.87849012295501,121.69083026846472
2020-03-31,zus (kw),ukrainian,115.21903960563127,123.61592310289076
2020-06-30,zus (kw),ukrainian,103.0362019666146,116.26645701188636
2020-09-30,zus (kw),ukrainian,120.51373469004547,127.9009647673365
2020-12-31,zus (kw),ukrainian,126.56854985346652,135.14649183590072
